#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
891	339.325	186	0.031
892	339.696	223	0.0371667
893	340.068	211	0.0351667
894	340.439	215	0.0358333
895	340.810	169	0.0281667
896	341.182	183	0.0305
897	341.553	195	0.0325
898	341.924	214	0.0356667
899	342.296	199	0.0331667
900	342.667	203	0.0338333
901	343.038	174	0.029
902	343.410	189	0.0315
903	343.781	186	0.031
904	344.152	197	0.0328333
905	344.524	175	0.0291667
906	344.895	172	0.0286667
907	345.266	200	0.0333333
908	345.638	204	0.034
909	346.009	194	0.0323333
910	346.380	189	0.0315
911	346.752	182	0.0303333
912	347.123	184	0.0306667
913	347.494	199	0.0331667
914	347.865	185	0.0308333
915	348.237	202	0.0336667
916	348.608	197	0.0328333
917	348.979	196	0.0326667
918	349.351	171	0.0285
919	349.722	197	0.0328333
920	350.093	170	0.0283333
921	350.465	214	0.0356667
922	350.836	190	0.0316667
923	351.207	191	0.0318333
